id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
28118,VTBS,large_airport,Suvarnabhumi Airport,13.68109989,100.7470016,5,AS,Thailand,TH,Bangkok (special administrative area),TH-10,10,Bangkok,1,VTBS,BKK,,,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,,51150,2009-01-29T16:23:22+00:00
26638,VTBD,large_airport,Don Mueang International Airport,13.91259956,100.6070023,9,AS,Thailand,TH,Bangkok (special administrative area),TH-10,10,Bangkok,1,VTBD,DMK,,http://www2.airportthai.co.th/airportnew/bangkok/index.asp?lang=en,https://en.wikipedia.org/wiki/Don_Mueang_International_Airport,"Old Bangkok International Airport, Don Muang Royal Thai Air Force Base",1000,2014-01-27T11:03:44+00:00
26674,VTSP,large_airport,Phuket International Airport,8.1132,98.316902,82,AS,Thailand,TH,Phuket Province,TH-83,83,Phuket,1,VTSP,HKT,,,https://en.wikipedia.org/wiki/Phuket_International_Airport,,1050,2017-04-28T19:11:13+00:00
26647,VTCC,large_airport,Chiang Mai International Airport,18.76679993,98.96260071,1036,AS,Thailand,TH,Chiang Mai Province,TH-50,50,Chiang Mai,1,VTCC,CNX,,,https://en.wikipedia.org/wiki/Chiang_Mai_International_Airport,,1050,2010-09-01T19:15:28+00:00
26672,VTSM,medium_airport,Samui Airport,9.54779,100.061996,64,AS,Thailand,TH,Surat Thani Province,TH-84,84,Na Thon (Ko Samui Island),1,VTSM,USM,,http://www.samuiairportonline.com,https://en.wikipedia.org/wiki/Samui_Airport,,750,2022-11-14T09:24:10+00:00
26669,VTSG,medium_airport,Krabi Airport,8.09912014,98.98619843,82,AS,Thailand,TH,Krabi Province,TH-81,81,Krabi,1,VTSG,KBV,,,https://en.wikipedia.org/wiki/Krabi_Airport,,750,2010-09-01T19:17:14+00:00
26676,VTSS,medium_airport,Hat Yai International Airport,6.933209896,100.3929977,90,AS,Thailand,TH,Songkhla Province,TH-90,90,Hat Yai,1,VTSS,HDY,,,https://en.wikipedia.org/wiki/Hat_Yai_International_Airport,,750,2010-09-02T20:40:57+00:00
26645,VTBU,medium_airport,U-Tapao International Airport,12.67990017,101.0049973,42,AS,Thailand,TH,Rayong Province,TH-21,21,Rayong,1,VTBU,UTP,,http://www.utapao.com/,https://en.wikipedia.org/wiki/U-Tapao_International_Airport,"Utapao, U-Taphao, U-Tapao Royal Thai Navy Airfield",750,2009-03-04T17:46:31+00:00
26678,VTUD,medium_airport,Udon Thani Airport,17.38640022,102.788002,579,AS,Thailand,TH,Udon Thani Province,TH-41,41,Udon Thani,1,VTUD,UTH,,http://www.udonthaniairport.com/,https://en.wikipedia.org/wiki/Udon_Thani_International_Airport,,750,2010-09-02T20:43:32+00:00
26653,VTCT,medium_airport,Mae Fah Luang - Chiang Rai International Airport,19.952299,99.882896,1280,AS,Thailand,TH,Chiang Rai Province,TH-57,57,Chiang Rai,1,VTCT,CEI,,,https://en.wikipedia.org/wiki/Chiang_Rai_International_Airport,,750,2021-06-02T17:32:22+00:00
